tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
Hẻm xe hơi 1 trục ra Hoàng Sa nhà BTCT 4 tầng,"5,89 tỷ","Đường Nguyễn Văn Nguyễn, Phường Tân Định, Quận 1, Hồ Chí Minh","25,8 m²",3 phòng,4 phòng,4 tầng,Sổ đỏ/ Sổ hồng ( sử dụng chung),24/11/2025
"Nhà mới đẹp - hộ khẩu Bến Thành (Quận 1) - ngang lớn 6m - 110m2, 4 tầng. Siêu hiếm 23 tỷ",23 tỷ,"Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, Hồ Chí Minh",110 m²,5 phòng,6 phòng,4 tầng,N/A,26/11/2025
"Nhà mới phố tây - Bùi Viện - 3.4x8 (25m2), 2tầng - nhỉnh 3tỷ","3,95 tỷ","Đường Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh",25 m²,2 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,26/11/2025
3TỶ350 BÁN NHÀ QUẬN 1 NGAY LÝ TỰ TRỌNG | DT: 48M2 | TẶNG FULL NỘI THẤT | HẺM RỘNG 5M | GIẢM 100TR,"3,35 tỷ","Đường Lý Tự Trọng, Phường Bến Nghé, Quận 1, Hồ Chí Minh",48 m²,4 phòng,4 phòng,3 tầng,Sổ đỏ/ Sổ hồng,14/11/2025
Quận 1 Trần Đình Xu 5.7 tỷ - HXH - Căn hiếm chốt nhanh,"5,7 tỷ","Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Hồ Chí Minh",21 m²,2 phòng,2 phòng,3 tầng,Sổ đỏ/ Sổ hồng,26/11/2025
Bán gấp trong tuần - Bán nhà Trần Đình Xu 11m² 3 tầng - 3.9 tỷ,"3,9 tỷ","Đường Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",11 m²,N/A,N/A,3 tầng,Sổ đỏ/ Sổ hồng,26/11/2025
"NHÀ 115/ TRẦN ĐÌNH XU Q1, 2 MẶT HẺM 4M, 4 TẦNG, 6PN, GIÁ CHỈ 7.5 TỶ TL","7,5 tỷ","115/ Đường Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",31 m²,5 phòng,6 phòng,5 tầng,Sổ đỏ/ Sổ hồng,23/11/2025
"Nhà nở hậu đẹp, ko LG QH - Nguyễn Văn Cừ - 3.1x8(24m2), 3tầng - 5.35tỷ","5,35 tỷ","Đường Nguyễn Văn Cừ, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",24 m²,3 phòng,2 phòng,3 tầng,Sổ đỏ/ Sổ hồng,26/11/2025
Quận 1 Bùi Viện 5.75 tỷ - Giá mềm tài lộc hanh thông,"5,75 tỷ","Đường Bùi Viện, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh",22 m²,2 phòng,3 phòng,3 tầng,Sổ đỏ/ Sổ hồng,26/11/2025
"Bán nhà ngay Lancaster LegacY đường Nguyễn Trãi Quận 1, nhà 2 tầng 3 ngủ mua bán ngay chỉ 10 tỷ",10 tỷ,"Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh","39,06 m²",3 phòng,N/A,2 tầng,Có sổ.,24/11/2025
"4TỶ180 [ HÀNG ĐỘC QUYỀN, QUẬN 1 ] ngay Trần Quý Khoách, Q.1 đang sẳn dòng tiền cho thuê 1200 usd","4,18 tỷ","Đường Trần Quý Khoách, Phường Tân Định, Quận 1, Hồ Chí Minh",63 m²,4 phòng,5 phòng,3 tầng,Sổ hồng riêng chính chủ.,07/11/2025
"Siêu hót, nhà góc 3 mặt thoáng hẻm oto đường Trần Hưng Đạo Quận 1, 2tầng 3ngủ sổ hồng chuẩn 8,5 tỷ","8,5 tỷ","Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Hồ Chí Minh","25,6 m²",3 phòng,N/A,2 tầng,Có sổ.,24/11/2025
Siêu phẩm Quận 1. DT 120m2 hẻm xe hơi tiện xây mới kinh doanh tiện lợi,"29,5 tỷ","Đường Trần Đình Xu, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",120 m²,N/A,N/A,N/A,Sổ đỏ/ Sổ hồng,26/11/2025
"Nhà HXH 1/ Nguyễn Cảnh Chân Q1, DT 48m2, có 1 không 2",Thỏa thuận,"Đường Nguyễn Cảnh Chân, Phường Cầu Kho, Quận 1, Hồ Chí Minh",48 m²,3 phòng,2 phòng,2 tầng,Sổ đỏ/ Sổ hồng,23/11/2025
"Hàng hiếm nhà bán đường Nguyễn Trãi Quận 1 nhà 2 tầng SD60m2 cách MT chỉ 20m mua bán ngay 9,8 tỷ","9,8 tỷ","Đường Nguyễn Trãi, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh","42,2 m²",3 phòng,N/A,2 tầng,Sổ đỏ/ Sổ hồng,24/11/2025
"Toà nhà CHDV 2 mặt tiền HĐT 250tr/th, 374c đường Hai Bà Trưng Quận 1, 10x20m, hầm 5T TM giá 38 tỷ",38 tỷ,"374c, Phố Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh",190 m²,N/A,N/A,5 tầng,N/A,15/11/2025
"Bán nhà đường Trần Đình Xu, Quận 1, hẻm xe hơi, tặng full nội thất, nhà mới, pháp lý sạch giá 5.7tỷ","5,7 tỷ","Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Hồ Chí Minh",21 m²,2 phòng,N/A,3 tầng,Sổ đẹp.,24/11/2025
"Hàng kín pháp lý chuẩn, ngay 75c Nguyễn Cư Trinh, 13,5x24m, XD: Hầm 7T thu nhập 300tr giá 48 tỷ",48 tỷ,"75c, Đường Nguyễn Cư Trinh, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",250 m²,N/A,N/A,N/A,N/A,15/11/2025
