tieu_de,gia,dia_chi,dien_tich_dat,phong_ngu,phong_tam,so_tang,phap_ly,ngay_dang
"HIẾM - CHỈ 8.XTY CÓ NHÀ 4 TẦNG NGAY PHỐ ĐI BỘ BÙI VIỆN , NGANG 3- 25m2.",8.45,"Đường Bùi Viện, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",25.0,2.0,3.0,4.0,Sổ hồng,2025-11-26
BÁN NHÀ CHÍNH CHỦ HẺM XE HƠI TRẦN ĐÌNH XU QUẬN 1,3.89,"Đường Trần Đình Xu, Phường Nguyễn Cư Trinh, Quận 1, Hồ Chí Minh",15.0,2.0,2.0,3.0,Sổ hồng,2025-11-26
"Nhà đẹp gần chợ Bến Thành, 4x13m, 4 tầng, hẻm xe hơi 4m. Giá chỉ nhỉnh 12 tỉ",12.5,"Đường Calmette, Phường Nguyễn Thái Bình, Quận 1, Hồ Chí Minh",50.0,4.0,4.0,4.0,Sổ hồng,2025-11-19
Bán nhà HXH P.Dakao Nguyễn Bỉnh Khiêm 6m x 12m tặng mô hình khai thác 120tr/tháng giá 16 tỷ,16.0,"Đường Nguyễn Bỉnh Khiêm, Phường Đa Kao, Quận 1, Hồ Chí Minh",68.0,5.0,5.0,4.0,Sổ hồng,2025-11-24
"Vị Trí Số 1 ! Dân trí cao ở ngay hẻm 6m Thạch Thị Thanh, TĐ,Q1 (6,4 x 18m-115m2)4 tầng. Chỉ 28 tỷTL",28.0,"Đường Thạch Thị Thanh, Phường Tân Định, Quận 1, Hồ Chí Minh",115.0,6.0,6.0,4.0,Sổ hồng,2025-11-20
"Bán nhà 3 tầng hẻm xe hơi Trần Đình Xu, trung tâm Quận 1 - full nội thất, giá chỉ 5,7 tỷ",5.7,"Đường Trần Đình Xu, Phường Cầu Kho, Quận 1, Hồ Chí Minh",20.0,2.0,2.0,3.0,Sổ hồng,2025-11-16
Bán nhà riêng trung tâm Quận 3,18.6,"Đường Nguyễn Đình Chiểu, Phường 5, Quận 3, Hồ Chí Minh",72.0,3.0,2.0,3.0,Sổ hồng,2025-11-24
"Chính chủ bán nhà riêng tại TT Q.3, giá tốt 6,15 tỷ. Thương lượng thiện chí. Miễn tiếp môi giới",6.15,"Đường Lý Chính Thắng, Phường 9, Quận 3, Hồ Chí Minh",27.0,3.0,4.0,3.0,Sổ hồng,2025-11-24
"18,8 tỷ * Chính chủ bán nhà 453/3 Lê Văn Sỹ, Q3 * DT: 360m2. 1 trệt, 4 lầu, 9PN, 7WC",18.8,"453/5, Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh.",72.0,9.0,7.0,5.0,Sổ hồng,2025-11-23
"Khu VIP MTNB Phạm Ngọc Thạch, Quận 3. DT: 25x30m. DTCN: ~600m2 đất. GPXD: 3000m2 sàn. Giá: 145 tỷ",145.0,"Đường Phạm Ngọc Thạch, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",600.0,5.0,5.0,2.0,Sổ hồng,2025-11-22
"NHÀ HẺM ĐẸP XE HƠI NGANG LỚN 5,7m DÂN TRÍ CAO CMT8 P10 Q3",6.5,"Đường Cách Mạng Tháng Tám, Phường 10, Quận 3, Hồ Chí Minh",32.0,3.0,2.0,2.0,Sổ hồng,2025-11-22
"Nhà ngộp cần bán nhà Nguyễn Thiện Thuật, Q3, DT 54m2, 4PN, 3ty850 sổ hồng riêng",3.85,"Đường  Nguyễn Thiện Thuật, Phường 1, Quận 3, Hồ Chí Minh",54.0,4.0,4.0,2.0,Sổ hồng,2025-11-22
Siêu phẩm không còn căn thứ 2. Căn góc sát MT CMT8 Q3 - 4 tầng. Chỉ 13.X tỷ TL chính chủ,13.5,"Đường Cách Mạng Tháng Tám, Phường 10, Quận 3, Hồ Chí Minh",53.0,4.0,5.0,5.0,Sổ hồng,2025-11-21
"Nhà riêng 5 tầng cực chất, mới tinh với 6PN, 7WC, diện tích 50m², 216 m2 DTSD chỉ 8 tỉ. TL nhẹ",8.0,"Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh",50.0,6.0,7.0,5.0,Sổ hồng,2025-11-18
"Bán nhà hẻm xe hơi đường Lê Văn Sỹ, P. 14, Q. 3 chỉ 17,6 tỷ (TL)",17.6,"Đường Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh",86.0,3.0,3.0,2.0,Sổ hồng,2025-11-14
Quận 3 - CMT8 - Căn hộ dịch vụ - 6 tầng thang máy - dòng tiền 60tr/th - 69.5m2 - 12.7 tỷ,12.7,"Đường Cách Mạng Tháng Tám, Phường 10, Quận 3, Hồ Chí Minh",69.0,9.0,9.0,6.0,Sổ đỏ,2025-11-27
"VIP!! Kỳ Đồng Quận 3, 2 tầng, 45m2, nhỉnh 7T",7.6,"Đường  Kỳ Đồng, Phường 1, Quận 3, Hồ Chí Minh",45.0,2.0,2.0,2.0,Sổ hồng,2025-11-27
"Bán nhà góc Nguyễn Thị Minh Khai, trung tâm Quận 3 - 4 tầng, 4PN, 4WC và sân thượng - Giá 11 tỷ",11.0,"Đường Nguyễn Thị Minh Khai, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",48.0,4.0,4.0,4.0,Sổ đỏ,2025-11-26
"Nhà 3 tầng Cách Mạng Tháng Tám, 4x8m, 3PN 3WC, hẻm thoáng - chỉ 4.3 tỷ",4.3,"Đường Cách Mạng Tháng Tám, Phường 11, Quận 3, Hồ Chí Minh",28.0,4.0,3.0,3.0,Sổ hồng,2025-11-26
"HẺM 6M XE HƠI THÔNG ĐƯỜNG TRẦN VĂN ĐANG TTQ3- NHÀ 1 ĐỜI CHỦ- NGANG KHỦNG 6,5M- 6,2 TỶ",6.2,"Đường Trần Văn Đang, Phường 13, Quận 3, Hồ Chí Minh",30.0,2.0,2.0,2.0,Sổ hồng,2025-11-26
"Hiếm, bán nhà hẻm 7m CMT8, P.12, Q3. DT: 4x20m nở hậu, CN: 80m2, KC 4 lầu. Giá: 13,99 tỷ",13.99,"Đường Cách Mạng Tháng Tám, Phường 12, Quận 3, Hồ Chí Minh",80.0,3.0,3.0,3.0,Sổ hồng,2025-11-21
"Nhà xinh, mặt tiền hẻm HTC ND - Lý Chính Thắng - 4X12m (29/43m2) - 3.9 tỷ",3.9,"Đường Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh.",29.0,2.0,1.0,2.0,Sổ hồng,2025-11-27
"Bán nhà HXH 6m Lê Văn Sỹ, Phường Nhiêu Lộc, Quận 3 giá 17,5 tỷ",17.5,"Đường Lê Văn Sỹ, Phường 13, Quận 3, Hồ Chí Minh",77.0,7.0,5.0,5.0,Sổ hồng,2025-11-24
"BÁN NHÀ 513/ ĐIỆN BIÊN PHỦ Q3, TRỆT 3 LẦU, 4PN, 4WC, GIÁ 7.8 TỶ HOT",7.8,"513/1L, Đường Điện Biên Phủ, Phường 3, Quận 3, Hồ Chí Minh",40.0,4.0,4.0,4.0,Sổ hồng,2025-11-22
"Đẳng cấp Lê Văn Sỹ, Quận 3 - Xây mới 100% - 55m2 (5 x 11) x 5 tầng - 5PN, 6WC - 8.9 tỷ TL",8.9,"Đường Lê Văn Sỹ, Phường 12, Quận 3, Hồ Chí Minh",56.0,5.0,6.0,5.0,Sổ hồng,2025-11-25
"Bán nhà khu Vip Nam Kỳ Khởi Nghĩa 31m2 (3.8x8)m, 1PN 2WC - 4.9 tỷ",4.9,"Đường Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",31.0,1.0,2.0,4.0,Sổ hồng,2025-11-27
"Nhà mới ở ngay - Lê Văn Sỹ - 3.5x15.5m (53.1m2), 4 tầng - nhỉnh 6 tỷ",6.8,"Đường Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh",53.0,5.0,6.0,4.0,Sổ hồng,2025-11-27
"CHDV, nở hậu, không LG QH - Trần Quang Diệu - 46m2, 3 tầng - 6.4 tỷ",6.4,"Đường Trần Quang Diệu, Phường 13, Quận 3, Hồ Chí Minh",46.0,7.0,3.0,3.0,Sổ hồng,2025-11-27
Nhà nở hậu - Huỳnh Tịnh Của - 3.7X11m (43m2) - 6 tỷ,6.0,"Đường Huỳnh Tịnh Của, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh",43.0,2.0,1.0,2.0,Sổ hồng,2025-11-27
